Matricula 30205: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30206: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30207: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30209: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30239: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30249: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30262: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30265: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30273: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30276: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30278: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30280: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30281: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30291: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30302: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30320: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 30323: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30325: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30340: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30373: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 30386: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30396: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30411: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30423: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30425: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30426: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30436: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30441: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30450: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30451: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30464: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30466: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30483: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 30492: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30495: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30502: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30504: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30505: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30506: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30510: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30530: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 30556: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30567: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30570: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30572: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 30609: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30615: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30620: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
